Name,Type,Mana Cost,Power,Toughness,Text
Slaughter Specialist,Creature — Vampire Warrior,{1}{B},3,3,"When Slaughter Specialist enters the battlefield, each opponent creates a 1/1 white Human creature token.
Whenever a creature an opponent controls dies, put a +1/+1 counter on Slaughter Specialist."
Stromkirk Bloodthief,Creature — Vampire Rogue,{2}{B},2,2,"At the beginning of your end step, if an opponent lost life this turn, put a +1/+1 counter on target Vampire you control."
Tainted Adversary,Creature — Zombie,{1}{B},2,3,"Deathtouch
When Tainted Adversary enters the battlefield, you may pay {2}{B} any number of times. When you pay this cost one or more times, put that many +1/+1 counters on Tainted Adversary, then create twice that many 2/2 black Zombie creature tokens with decayed. (A creature with decayed can't block. When it attacks, sacrifice it at end of combat.)"
Vampire Interloper,Creature — Vampire Scout,{1}{B},2,1,"Flying
Vampire Interloper can't block."
Vengeful Strangler // Strangling Grasp,Creature — Human Rogue,{1}{B},2,1,"Vengeful Strangler can't block.
When Vengeful Strangler dies, return it to the battlefield transformed under your control attached to target creature or planeswalker an opponent controls."
Vengeful Strangler // Strangling Grasp,Enchantment — Aura,,,,"Enchant creature or planeswalker an opponent controls
At the beginning of your upkeep, enchanted permanent's controller sacrifices a nonland permanent, then that player loses 1 life."
Abandon the Post,Sorcery,{1}{R},,,"Up to two target creatures can't block this turn.
Flashback {3}{R} (You may cast this card from your graveyard for its flashback cost. Then exile it.)"
Ardent Elementalist,Creature — Human Shaman,{3}{R},2,1,"When Ardent Elementalist enters the battlefield, return target instant or sorcery card from your graveyard to your hand."
Bloodthirsty Adversary,Creature — Vampire,{1}{R},2,2,"Haste
When Bloodthirsty Adversary enters the battlefield, you may pay {2}{R} any number of times. When you pay this cost one or more times, put that many +1/+1 counters on Bloodthirsty Adversary, then exile up to that many target instant and/or sorcery cards with mana value 3 or less from your graveyard and copy them. You may cast any number of the copies without paying their mana costs."
Brimstone Vandal,Creature — Devil,{2}{R},2,3,"Menace (This creature can't be blocked except by two or more creatures.)
If it's neither day nor night, it becomes day as Brimstone Vandal enters the battlefield.
Whenever day becomes night or night becomes day, Brimstone Vandal deals 1 damage to each opponent."
Burn Down the House,Sorcery,{3}{R}{R},,,"Choose one —
• Burn Down the House deals 5 damage to each creature and each planeswalker.
• Create three 1/1 red Devil creature tokens with ""When this creature dies, it deals 1 damage to any target."" They gain haste until end of turn."
Burn the Accursed,Instant,{4}{R},,,"Burn the Accursed deals 5 damage to target creature and 2 damage to that creature's controller. If that creature would die this turn, exile it instead."
Cathartic Pyre,Instant,{1}{R},,,"Choose one —
• Cathartic Pyre deals 3 damage to target creature or planeswalker.
• Discard up to two cards, then draw that many cards."
Curse of Shaken Faith,Enchantment — Aura Curse,{1}{R},,,"Enchant player
Whenever enchanted player casts a spell other than the first spell they cast each turn or copies a spell, Curse of Shaken Faith deals 2 damage to them."
Electric Revelation,Instant,{2}{R},,,"As an additional cost to cast this spell, discard a card.
Draw two cards.
Flashback {3}{R} (You may cast this card from your graveyard for its flashback cost and any additional costs. Then exile it.)"
Falkenrath Perforator,Creature — Vampire,{1}{R},2,1,"Whenever Falkenrath Perforator attacks, it deals 1 damage to defending player."
Falkenrath Pit Fighter,Creature — Vampire Warrior,{R},2,1,"{1}{R}, Discard a card, Sacrifice a Vampire: Draw two cards. Activate only if an opponent lost life this turn."
Famished Foragers,Creature — Vampire,{3}{R},4,3,"When Famished Foragers enters the battlefield, if an opponent lost life this turn, add {R}{R}{R}.
{2}{R}, Discard a card: Draw a card."
Fangblade Brigand // Fangblade Eviscerator,Creature — Human Werewolf,{3}{R},3,4,"{1}{R}: Fangblade Brigand gets +1/+0 and gains first strike until end of turn.
Daybound (If a player casts no spells during their own turn, it becomes night next turn.)"
Fangblade Brigand // Fangblade Eviscerator,Creature — Werewolf,,4,5,"{1}{R}: Fangblade Eviscerator gets +1/+0 and gains first strike until end of turn.
{4}{R}: Creatures you control get +2/+0 until end of turn.
Nightbound (If a player casts at least two spells during their own turn, it becomes day next turn.)"
Festival Crasher,Creature — Devil,{1}{R},1,3,"Whenever you cast an instant or sorcery spell, Festival Crasher gets +2/+0 until end of turn."
Flame Channeler // Embodiment of Flame,Creature — Human Wizard,{1}{R},2,2,"When a spell you control deals damage, transform Flame Channeler."
Flame Channeler // Embodiment of Flame,Creature — Elemental Wizard,,3,3,"Whenever a spell you control deals damage, put a flame counter on Embodiment of Flame.
{1}, Remove a flame counter from Embodiment of Flame: Exile the top card of your library. You may play that card this turn."
Geistflame Reservoir,Artifact,{2}{R},,,"Whenever you cast an instant or sorcery spell, put a charge counter on Geistflame Reservoir.
{1}{R}, {T}, Remove any number of charge counters from Geistflame Reservoir: It deals that much damage to any target.
{1}{R}, {T}: Exile the top card of your library. You may play that card this turn."
Harvesttide Infiltrator // Harvesttide Assailant,Creature — Human Werewolf,{2}{R},3,2,"Trample
Daybound (If a player casts no spells during their own turn, it becomes night next turn.)"
Harvesttide Infiltrator // Harvesttide Assailant,Creature — Werewolf,,4,4,"Trample
Nightbound (If a player casts at least two spells during their own turn, it becomes day next turn.)"
Immolation,Enchantment — Aura,{R},,,"Enchant creature
Enchanted creature gets +2/-2."
Lambholt Harrier,Creature — Wolf,{1}{R},2,2,{3}{R}: Target creature can't block this turn.
Light Up the Night,Sorcery,{X}{R},,,"Light Up the Night deals X damage to any target. It deals X plus 1 damage instead if that target is a creature or planeswalker.
Flashback—{3}{R}, Remove X loyalty counters from among planeswalkers you control. If you cast this spell this way, X can't be 0. (You may cast this card from your graveyard for its flashback cost. Then exile it.)"
Lunar Frenzy,Instant,{X}{R},,,Target creature you control gets +X/+0 and gains first strike and trample until end of turn.
Moonrager's Slash,Instant,{2}{R},,,"This spell costs {2} less to cast if it's night.
Moonrager's Slash deals 3 damage to any target."
Moonveil Regent,Creature — Dragon,{3}{R},4,4,"Flying
Whenever you cast a spell, you may discard your hand. If you do, draw a card for each of that spell's colors.
When Moonveil Regent dies, it deals X damage to any target, where X is the number of colors among permanents you control."
Mounted Dreadknight,Creature — Vampire Knight,{4}{R},5,4,"Trample
Mounted Dreadknight enters the battlefield with a +1/+1 counter on it if an opponent lost life this turn."
Neonate's Rush,Instant,{2}{R},,,"This spell costs {1} less to cast if you control a Vampire.
Neonate's Rush deals 1 damage to target creature and 1 damage to its controller. Draw a card."
Obsessive Astronomer,Creature — Human Wizard,{1}{R},2,2,"If it's neither day nor night, it becomes day as Obsessive Astronomer enters the battlefield.
Whenever day becomes night or night becomes day, discard up to two cards, then draw that many cards."
Pack's Betrayal,Sorcery,{2}{R},,,"Gain control of target creature until end of turn. Untap that creature. It gains haste until end of turn. If you control a Wolf or Werewolf, scry 2. (Look at the top two cards of your library, then put any number of them on the bottom of your library and the rest on top in any order.)"
Play with Fire,Instant,{R},,,"Play with Fire deals 2 damage to any target. If a player is dealt damage this way, scry 1. (Look at the top card of your library. You may put that card on the bottom of your library.)"
Purifying Dragon,Creature — Dragon,{3}{R}{R},4,3,"Flying
Whenever Purifying Dragon attacks, it deals 1 damage to target creature defending player controls. If that creature is a Zombie, Purifying Dragon deals 2 damage to it instead."
Raze the Effigy,Instant,{R},,,"Choose one —
• Destroy target artifact.
• Target attacking creature gets +2/+2 until end of turn."
Reckless Stormseeker // Storm-Charged Slasher,Creature — Human Werewolf,{2}{R},2,3,"At the beginning of combat on your turn, target creature you control gets +1/+0 and gains haste until end of turn.
Daybound (If a player casts no spells during their own turn, it becomes night next turn.)"
Reckless Stormseeker // Storm-Charged Slasher,Creature — Werewolf,,3,4,"At the beginning of combat on your turn, target creature you control gets +2/+0 and gains trample and haste until end of turn.
Nightbound (If a player casts at least two spells during their own turn, it becomes day next turn.)"
Seize the Storm,Sorcery,{4}{R},,,"Create a red Elemental creature token with trample and ""This creature's power and toughness are each equal to the number of instant and sorcery cards in your graveyard plus the number of cards with flashback you own in exile.""
Flashback {6}{R} (You may cast this card from your graveyard for its flashback cost. Then exile it.)"
Smoldering Egg // Ashmouth Dragon,Creature — Dragon Egg,{1}{R},0,4,"Defender
Whenever you cast an instant or sorcery spell, put a number of ember counters on Smoldering Egg equal to the amount of mana spent to cast that spell. Then if Smoldering Egg has seven or more ember counters on it, remove them and transform Smoldering Egg."
Smoldering Egg // Ashmouth Dragon,Creature — Dragon,,4,4,"Flying
Whenever you cast an instant or sorcery spell, Ashmouth Dragon deals 2 damage to any target."
Spellrune Painter // Spellrune Howler,Creature — Human Shaman Werewolf,{2}{R},2,3,"Whenever you cast an instant or sorcery spell, Spellrune Painter gets +1/+1 until end of turn.
Daybound (If a player casts no spells during their own turn, it becomes night next turn.)"
Spellrune Painter // Spellrune Howler,Creature — Werewolf,,3,4,"Whenever you cast an instant or sorcery spell, Spellrune Howler gets +2/+2 until end of turn.
Nightbound (If a player casts at least two spells during their own turn, it becomes day next turn.)"
Stolen Vitality,Instant,{1}{R},,,"Target creature gets +3/+1 until end of turn. If it's your turn, that creature gains trample until end of turn. Otherwise, it gains first strike until end of turn."
Sunstreak Phoenix,Creature — Phoenix,{2}{R}{R},4,2,"Flying
If it's neither day nor night, it becomes day as Sunstreak Phoenix enters the battlefield.
Whenever day becomes night or night becomes day, you may pay {1}{R}. If you do, return Sunstreak Phoenix from your graveyard to the battlefield tapped."
Tavern Ruffian // Tavern Smasher,Creature — Human Warrior Werewolf,{3}{R},2,5,"Daybound (If a player casts no spells during their own turn, it becomes night next turn.)"
